iter	Passed	Remaining
460	791	925
461	793	923
462	794	921
463	795	918
464	796	916
465	797	914
466	798	911
467	800	909
468	802	908
469	803	905
470	804	903
471	805	901
472	806	898
473	807	896
474	808	893
475	809	891
476	811	889
477	812	887
478	813	884
479	815	883
480	816	881
481	818	879
482	819	877
483	820	874
484	821	872
485	822	870
486	824	868
487	825	865
488	826	863
489	827	861
490	828	859
491	830	857
492	831	855
493	832	852
494	833	850
495	834	848
496	835	845
497	836	843
498	838	841
499	839	839
500	840	836
501	841	834
502	842	832
503	844	830
504	845	829
505	847	827
506	848	824
507	849	822
508	850	820
509	851	818
510	853	816
511	854	814
512	855	812
513	856	810
514	858	808
515	860	806
516	861	805
517	863	803
518	864	801
519	866	799
520	868	798
521	869	796
522	870	794
523	871	791
524	872	789
525	874	788
526	876	786
527	877	784
528	878	782
529	879	780
530	880	778
531	882	776
532	883	774
533	884	772
534	885	769
535	886	767
536	889	766
537	890	764
538	891	762
539	893	760
540	894	758
541	895	756
542	896	754
543	897	752
544	898	750
545	900	748
546	901	746
547	902	744
548	904	743
549	906	741
550	907	739
551	909	737
552	910	735
553	911	734
554	913	732
555	914	730
556	915	728
557	917	726
558	919	725
559	921	723
560	923	722
561	924	720
562	925	718
563	926	716
564	927	714
565	928	712
566	930	710
567	932	709
568	934	707
569	936	706
570	937	704
571	939	702
572	940	701
573	942	699
574	943	697
575	944	695
576	946	693
577	948	692
578	949	690
579	951	688
580	952	687
581	954	685
582	955	683
583	956	681
584	957	679
585	958	677
586	960	675
587	962	674
588	964	672
589	965	670
590	966	668
591	967	666
592	968	664
593	969	662
594	971	660
595	972	659
596	973	657
597	975	655
598	977	654
599	978	652
600	979	650
601	981	648
602	982	646
603	983	644
604	984	642
605	985	640
606	986	638
607	987	636
608	988	634
609	989	632
610	991	630
611	992	629
612	993	627
613	994	625
614	996	623
615	997	621
616	998	619
617	999	617
618	1000	615
619	1001	613
620	1002	612
621	1004	610
622	1006	609
623	1007	607
624	1008	605
625	1009	603
626	1010	601
627	1011	599
628	1013	597
629	1014	595
630	1015	594
631	1017	592
632	1018	590
633	1020	589
634	1021	587
635	1023	585
636	1025	584
637	1026	582
638	1028	580
639	1030	579
640	1031	577
641	1034	576
642	1036	575
643	1038	573
644	1040	572
645	1041	570
646	1043	569
647	1045	567
648	1048	566
649	1051	565
650	1052	564
651	1054	562
652	1056	561
653	1057	559
654	1058	557
655	1060	556
656	1061	554
657	1064	553
658	1065	551
659	1067	550
660	1069	548
661	1070	546
662	1072	545
663	1073	543
664	1075	541
665	1078	540
666	1080	539
667	1081	537
668	1083	535
669	1084	534
670	1086	532
671	1088	531
672	1090	530
673	1093	529
674	1095	527
675	1096	525
676	1097	523
677	1099	522
678	1101	520
679	1103	519
680	1105	517
681	1106	516
682	1108	514
683	1109	512
684	1110	510
685	1111	508
686	1113	507
687	1114	505
688	1115	503
689	1117	502
690	1119	500
691	1121	499
692	1123	497
693	1125	496
694	1126	494
695	1128	492
696	1130	491
697	1132	489
698	1134	488
699	1136	487
700	1137	485
701	1139	483
702	1140	481
703	1142	480
704	1143	478
705	1145	476
706	1147	475
707	1149	474
708	1150	472
709	1152	470
710	1153	468
711	1155	467
712	1156	465
713	1158	463
714	1159	462
715	1161	460
716	1163	459
717	1164	457
718	1165	455
719	1167	453
720	1168	452
721	1169	450
722	1170	448
723	1171	446
724	1173	445
725	1175	443
726	1177	442
727	1178	440
728	1179	438
729	1181	436
730	1182	435
731	1184	433
732	1185	431
733	1186	430
734	1188	428
735	1190	427
736	1192	425
737	1193	423
738	1194	421
739	1195	420
740	1196	418
741	1197	416
742	1198	414
743	1199	412
744	1200	410
745	1201	409
746	1202	407
747	1204	405
748	1206	404
749	1207	402
750	1208	400
751	1209	398
752	1210	397
753	1211	395
754	1212	393
755	1213	391
756	1214	389
757	1215	388
758	1217	386
759	1218	384
760	1219	383
761	1221	381
762	1222	379
763	1223	378
764	1225	376
765	1226	374
766	1227	372
767	1228	371
768	1229	369
769	1230	367
770	1231	365
771	1232	364
772	1233	362
773	1235	360
774	1236	358
775	1237	357
776	1239	355
777	1239	353
778	1240	352
779	1241	350
780	1242	348
781	1243	346
782	1244	345
783	1245	343
784	1246	341
785	1247	339
786	1248	337
787	1250	336
788	1251	334
789	1252	333
790	1253	331
791	1254	329
792	1256	327
793	1257	326
794	1258	324
795	1259	322
796	1260	321
797	1261	319
798	1262	317
799	1263	315
800	1264	314
801	1265	312
802	1266	310
803	1267	309
804	1268	307
805	1269	305
806	1270	303
807	1271	302
808	1273	300
809	1275	299
810	1276	297
811	1277	295
812	1278	294
813	1280	292
814	1281	290
815	1283	289
816	1284	287
817	1285	286
818	1287	284
819	1289	282
820	1290	281
821	1292	279
822	1294	278
823	1296	276
824	1298	275
825	1300	273
826	1301	272
827	1302	270
828	1304	269
829	1305	267
830	1307	265
831	1309	264
832	1311	262
833	1312	261
834	1314	259
835	1316	258
836	1317	256
837	1319	255
838	1320	253
839	1321	251
840	1323	250
841	1325	248
842	1326	247
843	1327	245
844	1328	243
845	1329	242
846	1330	240
847	1331	238
848	1332	237
849	1334	235
850	1335	233
851	1336	232
852	1337	230
853	1339	228
854	1340	227
855	1341	225
856	1342	224
857	1344	222
858	1345	220
859	1346	219
860	1347	217
861	1348	215
862	1349	214
863	1350	212
864	1352	211
865	1353	209
866	1354	207
867	1356	206
868	1357	204
869	1358	202
870	1359	201
871	1360	199
872	1361	198
873	1362	196
874	1363	194
875	1364	193
876	1365	191
877	1366	189
878	1368	188
879	1369	186
880	1370	185
881	1371	183
882	1373	181
883	1374	180
884	1375	178
885	1376	177
886	1377	175
887	1378	173
888	1379	172
889	1380	170
890	1381	169
891	1383	167
892	1384	165
893	1385	164
894	1386	162
895	1388	161
896	1389	159
897	1390	157
898	1391	156
899	1392	154
900	1393	153
901	1394	151
902	1395	149
903	1396	148
904	1398	146
905	1399	145
906	1401	143
907	1402	142
908	1403	140
909	1405	138
910	1406	137
911	1407	135
912	1409	134
913	1410	132
914	1412	131
915	1413	129
916	1415	128
917	1416	126
918	1417	124
919	1418	123
920	1419	121
921	1420	120
922	1421	118
923	1422	117
924	1424	115
925	1425	113
926	1427	112
927	1428	110
928	1429	109
929	1430	107
930	1431	106
931	1432	104
932	1433	102
933	1434	101
934	1435	99
935	1436	98
936	1455	97
937	1457	96
938	1459	94
939	1460	93
940	1461	91
941	1462	90
942	1463	88
943	1464	86
944	1466	85
945	1467	83
946	1469	82
947	1470	80
948	1472	79
949	1473	77
950	1475	76
951	1476	74
952	1478	72
953	1480	71
954	1481	69
955	1482	68
956	1483	66
957	1484	65
958	1486	63
959	1487	61
960	1489	60
961	1490	58
962	1491	57
963	1492	55
964	1493	54
965	1495	52
966	1496	51
967	1497	49
968	1498	47
969	1499	46
970	1501	44
971	1503	43
972	1504	41
973	1505	40
974	1506	38
975	1508	37
976	1509	35
977	1510	33
978	1511	32
979	1513	30
980	1514	29
981	1516	27
982	1518	26
983	1519	24
984	1520	23
985	1522	21
986	1523	20
987	1524	18
988	1525	16
989	1526	15
990	1527	13
991	1528	12
992	1530	10
993	1531	9
994	1532	7
995	1533	6
996	1534	4
997	1536	3
998	1537	1
999	1537	0
